flow_duration,bytes,packets,protocol,label,flow_duration_binned,bytes_binned,packets_binned,protocol_binned
1.2,200,5,6,normal,1,1,1,0
3.4,540,12,17,normal,2,2,2,1
0.0,120,3,6,normal,0,1,1,0
10.5,8000,60,1,attack,4,3,3,0
2.2,230,8,17,normal,2,2,2,1
5.6,15000,100,6,attack,3,4,4,0
1.1,90,2,1,normal,1,0,0,0
0.5,60,1,6,normal,0,0,0,0
8.0,4000,40,17,attack,3,3,3,1
12.3,20000,120,6,attack,4,4,4,0
0.8,100,3,17,normal,1,1,1,1
2.0,350,9,6,normal,2,2,2,0
4.5,900,22,6,normal,2,2,2,0
0.0,50,1,1,normal,0,0,0,0
15.0,25000,180,6,attack,4,4,4,0
6.5,11000,90,17,attack,3,4,4,1
1.3,140,4,1,normal,1,1,1,0
9.9,6000,50,6,attack,4,3,3,0
7.7,5000,44,17,attack,3,3,3,1
0.2,30,1,1,normal,0,0,0,0
